departure,timestamp,supply,demand
1,1,1492,1625
1,2,1286,1395
1,3,1190,1285
1,4,1088,1150
1,5,1029,1083
1,6,923,972
1,7,850,911
1,8,775,833
1,9,743,805
1,10,700,760
1,11,633,699
1,12,554,607
1,13,570,613
1,14,510,582
1,15,456,502
1,16,409,459
1,17,349,392
1,18,377,427
1,19,345,391
1,20,265,306
1,21,288,326
1,22,235,280
1,23,213,239
1,24,176,213
1,25,167,185
1,26,143,156
1,27,169,192
1,28,170,183
1,29,147,168
1,30,142,178
1,31,127,193
1,32,168,217
1,33,146,199
1,34,177,267
1,35,209,303
1,36,273,489
1,37,348,717
1,38,398,749
1,39,493,830
1,40,763,1040
1,41,874,1091
1,42,1110,1215
1,43,1606,1706
1,44,2071,2123
1,45,2679,2729
1,46,3836,3901
1,47,4330,4444
1,48,4371,4479
1,49,5602,5935
1,50,6308,7396
1,51,5622,6397
1,52,6299,6885
1,53,6815,7721
1,54,4934,5145
1,55,3943,4037
1,56,3782,3856
1,57,3502,3583
1,58,3107,3192
1,59,3290,3368
1,60,2984,3054
1,61,2923,2985
1,62,2683,2738
1,63,2587,2648
1,64,2734,2808
1,65,2657,2723
1,66,2676,2739
1,67,2983,3066
1,68,3059,3147
1,69,2952,3087
1,70,3382,3517
1,71,3524,3681
1,72,3516,3658
1,73,3582,3726
1,74,3449,3594
1,75,3304,3414
1,76,3465,3566
1,77,3672,3785
1,78,3565,3676
1,79,3648,3752
1,80,3699,3812
1,81,3587,3700
1,82,3624,3715
1,83,3553,3644
1,84,3558,3648
1,85,3591,3687
1,86,3516,3619
1,87,3449,3564
1,88,3713,3819
1,89,3637,3747
1,90,3621,3767
1,91,3774,3950
1,92,3703,3886
1,93,3734,3906
1,94,3929,4026
1,95,3760,3863
1,96,3842,3953
1,97,4248,4381
1,98,4178,4285
1,99,4401,4529
1,100,4699,4819
1,101,4513,4661
1,102,4672,4784
1,103,5720,5870
1,104,5201,5348
1,105,5166,5317
1,106,6150,6313
1,107,5726,5875
1,108,5369,5523
1,109,5960,6142
1,110,5551,5716
1,111,5365,5517
1,112,5300,5426
1,113,4928,5069
1,114,4759,4896
1,115,4693,4805
1,116,4512,4629
1,117,4351,4477
1,118,4519,4634
1,119,4460,4590
1,120,4647,4785
1,121,4844,4967
1,122,4917,5057
1,123,4789,4918
1,124,5020,5167
1,125,4868,4984
1,126,5035,5164
1,127,5254,5400
1,128,4836,4951
1,129,4654,4798
1,130,4531,4678
1,131,4248,4349
1,132,4543,4671
1,133,4817,5027
1,134,3883,4167
1,135,3292,3516
1,136,2895,3008
1,137,2561,2652
1,138,2505,2598
1,139,2033,2102
1,140,1813,1898
1,141,1752,1812
1,142,1514,1567
1,143,1336,1400
1,144,1297,1369
2,1,170,178
2,2,162,168
2,3,154,160
2,4,148,156
2,5,126,139
2,6,108,117
2,7,121,131
2,8,76,89
2,9,71,79
2,10,69,73
2,11,79,86
2,12,38,57
2,13,48,57
2,14,46,58
2,15,49,57
2,16,35,45
2,17,33,41
2,18,27,38
2,19,11,20
2,20,19,21
2,21,14,17
2,22,14,20
2,23,11,20
2,24,8,11
2,25,6,12
2,26,4,8
2,27,5,9
2,28,6,16
2,29,3,10
2,30,5,7
2,31,4,11
2,32,3,7
2,33,8,16
2,34,16,28
2,35,8,16
2,36,13,19
2,37,16,24
2,38,25,28
2,39,66,76
2,40,164,177
2,41,157,169
2,42,196,203
2,43,229,240
2,44,398,405
2,45,453,463
2,46,531,540
2,47,596,610
2,48,577,590
2,49,633,648
2,50,754,768
2,51,637,651
2,52,447,455
2,53,464,475
2,54,381,391
2,55,358,364
2,56,379,390
2,57,383,405
2,58,319,324
2,59,339,351
2,60,343,350
2,61,305,313
2,62,300,304
2,63,323,331
2,64,311,313
2,65,376,390
2,66,320,322
